PCA1,PCA2
-2.35214860032569,-1.8185365896160712
-2.3522664752031615,-1.8184664132729838
-2.353126450178798,-1.818227122300803
-2.3541925659703042,-1.8179408546098443
-2.354208580476464,-1.8178938908750781
-2.3542997821646168,-1.8178297929930087
-2.35652027168298,-1.8172804590591878
-2.356790933237152,-1.817175464687879
-2.356190960890013,-1.8172688760702702
-2.356616829194134,-1.8171285121686043
-2.356812311084329,-1.8170406502313443
-2.3585696006686105,-1.8165968733311921
-2.3585856151747704,-1.8165499095964257
-2.357444828120294,-1.8167665653751806
-2.3563840759123207,-1.8169649822891045
-2.3562206305524613,-1.8169589150435772
-2.3565155452227047,-1.8168483937133872
-2.356761953418289,-1.816748926356227
-2.3572654287351336,-1.816590876860389
-2.357356630423286,-1.8165267789783204
-2.3570646515027964,-1.8165500028021329
-2.3576166330517827,-1.8163808993885306
-2.3590950227144982,-1.8160006800285355
-2.3597488571167804,-1.8158083657198676
-2.361176327507088,-1.8154397501770503
-2.3619853686593193,-1.815212066338024
-2.363948798816954,-1.81472131277436
-2.3640666736944254,-1.8146511364312725
-2.362773099963248,-1.8149026102382475
-2.3641472164569026,-1.814546153330722
-2.366547173601817,-1.8139559211391396
-2.3693327309435888,-1.8132778158500726
-2.3676026231921496,-1.813628769887688
-2.3658992031810264,-1.813973642148308
-2.3651464443997035,-1.814101871503654
-2.3654680322592654,-1.8139852717124454
-2.3660466869975703,-1.8138100898378249
-2.3669866968197097,-1.813552560000814
-2.3673349578685907,-1.8134298817485877
-2.366989625051448,-1.8134652642076912
-2.3647478181667676,-1.8139328275940176
-2.364123592703558,-1.8140317659352896
-2.363111339209711,-1.814219130644705
-2.3619462990391638,-1.8144413133823416
-2.3619623210633387,-1.8143943479343214
-2.3624633687889207,-1.8142368516538734
-2.363197238037707,-1.814026298480375
-2.365032134634711,-1.8135648359860497
-2.364791082019612,-1.8135764543899615
-2.3650884167631028,-1.813465381557635
-2.3648206912012006,-1.8134830783672995
-2.3645020390913922,-1.8135123806521305
-2.3657742952137353,-1.8131791363529257
-2.366918010742467,-1.8128751847257816
-2.366572677925325,-1.812910567184885
-2.3688198481510225,-1.812355153076791
-2.36868065614975,-1.8123435588171157
-2.3692593184060704,-1.8121683752292408
-2.3702502545335995,-1.8118992399723295
-2.3714691492412747,-1.8115781560216706
-2.369714795649264,-1.811934635360179
-2.3691657498500307,-1.8120164412674038
-2.366361302490689,-1.8126122228488506
-2.3664015701129193,-1.8125597321552027
-2.3666989123744253,-1.8124486576096215
-2.3655071990145595,-1.8126769188082763
-2.3637528451800316,-1.8130333982020508
-2.364537640734207,-1.8128112396086524
-2.3648349754776983,-1.8127001667763258
-2.364438716355166,-1.8127471546553298
-2.3641467374346767,-1.8127703784791418
-2.3635467650875372,-1.8128637898615325
-2.3625611850255264,-1.8130450760546633
-2.3616265385444035,-1.8132147551699054
-2.361564953555855,-1.8131854753160574
-2.3615809755800306,-1.8131385098680373
-2.360723928836133,-1.8132905050470949
-2.3605847365923442,-1.8132789108426859
-2.360959678348559,-1.8131501524161866
-2.360590099933361,-1.8131910601209174
-2.3606036870907747,-1.8131446495462764
-2.3597223945063046,-1.8133021700262273
-2.3589672154092165,-1.8134309509389757
-2.3588546965972634,-1.8134132782182828
-2.3595352117068797,-1.8132148837353412
-2.359114699468277,-1.8132673985732262
-2.358129126681764,-1.8134486831083687
-2.3588872415286057,-1.8132326046892429
-2.3595701839869685,-1.8130336570461767
-2.361123753071144,-1.8126363053073997
-2.361624808314741,-1.812478807313698
-2.360794442278177,-1.8126247223184828
-2.35988646922889,-1.8127883229174409
-2.3599776706745255,-1.812724225090638
-2.360352612673257,-1.8125954666088724
-2.360264346734858,-1.8125722669845639
-2.360690222556994,-1.8124319013696433
-2.3606286300504307,-1.8124026232290498
-2.360513690922713,-1.81238550206576
-2.359734251434056,-1.812519811595378
-2.358595891970842,-1.8127359141587411
-2.358124453184333,-1.812800034471793
-2.3578567273799145,-1.812817731336724
